segment_var,level,treatment,n_treat,n_ctrl,ate_visit,ci_lo,ci_hi,p
history_segment,1) $0 - $100,mens,7724,7612,0.06855191712613816,0.058362731043213295,0.07874110320906302,1.7453430135900705e-39
history_segment,1) $0 - $100,womens,7634,7612,0.04678188996291309,0.03694589088094836,0.05661788904487782,1.2921558526596381e-20
history_segment,2) $100 - $200,mens,4691,4836,0.0691095120991766,0.055846984139078806,0.08237204005927438,2.326439180012767e-24
history_segment,2) $100 - $200,womens,4727,4836,0.04250418595601041,0.02986405667127261,0.05514431524074821,4.591879707834022e-11
history_segment,3) $200 - $350,mens,4090,4044,0.08439790664548161,0.06823498944420398,0.10056082384675924,1.9489331116330225e-24
history_segment,3) $200 - $350,womens,4155,4044,0.036094834081422056,0.020903231925341808,0.0512864362375023,3.2512273080811333e-06
history_segment,4) $350 - $500,mens,2097,2124,0.08920128027933366,0.06543173586658532,0.112970824692082,2.254980375073218e-13
history_segment,4) $350 - $500,womens,2188,2124,0.040396685223630324,0.017987140271177312,0.06280623017608333,0.0004134234566478758
history_segment,5) $500 - $750,mens,1597,1652,0.09895180279003762,0.073957117043498,0.12394648853657725,1.1343992335877968e-14
history_segment,5) $500 - $750,womens,1662,1652,0.066127772775879,0.04241356977011952,0.08984197578163848,4.915273917688091e-08
history_segment,"6) $750 - $1,000",mens,644,622,0.06149767330390843,0.018812035384053377,0.10418331122376348,0.004781167214233722
history_segment,"6) $750 - $1,000",womens,593,622,0.05476540344750924,0.011355790679986918,0.09817501621503157,0.013454927945192081
history_segment,"7) $1,000 +",mens,464,416,0.09706564986737401,0.043245497178242435,0.15088580255650558,0.0004216531670098273
history_segment,"7) $1,000 +",womens,428,416,0.05376078360891445,0.0005559316375787146,0.10696563558025018,0.04765907808019314
channel,Multichannel,mens,2577,2606,0.08293672314062261,0.06258779157220357,0.10328565470904166,1.6611891268640154e-15
channel,Multichannel,womens,2579,2606,0.04709997539010549,0.02757720131498806,0.06662274946522292,2.3096927337638614e-06
channel,Phone,mens,9240,9327,0.07560427135853316,0.06614650450775736,0.08506203820930897,5.901892781242363e-55
channel,Phone,womens,9454,9327,0.044629773745575654,0.0357255536242833,0.05353399386686801,1.00642153704037e-22
channel,Web,mens,9490,9373,0.07556315210258555,0.06525082505548174,0.08587547914968935,1.5963852633285055e-46
channel,Web,womens,9354,9373,0.04567652217377893,0.035706766684965495,0.05564627766259237,2.9588463874870653e-19
