decile,n,n_treat,n_ctrl,mean_score,visit_rate_treat,visit_rate_ctrl,uplift,cum_incremental_visits
1,4270,2132,2138,0.1090742615527797,0.20966228893058161,0.11927034611786716,0.09039194281271445,385.9735958102907
2,4270,2156,2114,0.08359928408042637,0.1790352504638219,0.10785241248817408,0.07118283797564783,689.924313966307
3,4270,2201,2069,0.07232646981135094,0.16855974557019537,0.0985983566940551,0.06996138887614027,988.6594444674258
4,4269,2089,2180,0.06289043972938395,0.18717089516515079,0.10412844036697248,0.0830424547981783,1343.167684000849
5,4269,2147,2122,0.051575508599570836,0.15463437354448067,0.10320452403393025,0.05142984951055042,1562.7217115613887
6,4269,2115,2154,0.03323568736246388,0.13995271867612294,0.10817084493964717,0.03178187373647577,1698.3985305424037
7,4269,2127,2142,0.020294661680347464,0.10390220968500236,0.09010270774976657,0.013799501935235783,1757.3086043039252
8,4269,2100,2169,0.013685336761999067,0.09952380952380953,0.08390963577685569,0.015614173746953841,1823.9655120296711
9,4269,2216,2053,0.007089322261203249,0.11913357400722022,0.11495372625426206,0.004179847752958155,1841.8092820870495
10,4269,2104,2165,-0.00613834445070559,0.1525665399239544,0.13163972286374134,0.020926817060213043,1931.1458641170989
